Time(s);Node CPU(millicores);Node MEMORY(MiBytes);K8S CPU(Millicores);K8S Memory(MiBytes);OAI CPU(Millicores);OAI Memory(MiBytes)
0;442;876;119;358;;
5;442;876;119;358;;
10;442;876;119;358;;
15;442;876;119;358;;
20;442;876;119;358;;
25;442;876;119;358;;
30;442;876;119;358;;
35;442;876;119;358;;
40;442;876;119;358;;
45;442;876;119;358;;
50;442;876;119;358;;
55;24497;1344;261;360;10504;373
60;24497;1344;261;360;11000;445
65;24497;1344;261;360;11000;506
70;24497;1344;261;360;11998;583
75;24497;1344;261;360;11998;661
80;24497;1344;261;360;11998;670
85;24497;1344;261;360;11998;670
90;24497;1344;261;360;11998;670
95;24497;1344;261;360;11998;670
100;24497;1344;261;360;11998;670
105;24497;1344;261;360;11998;670
110;37293;2013;312;363;71370;2255
115;37293;2013;312;363;71370;2255
120;37293;2013;312;363;71370;2255
125;37293;2013;312;363;71370;2255
130;37293;2013;312;363;71370;2255
135;37293;2013;312;363;71370;2255
140;37293;2013;312;363;71370;2255
145;37293;2013;312;363;71370;2255
150;37293;2013;312;363;71370;2255
155;37293;2013;312;363;71370;2255
160;37293;2013;312;363;71370;2255
165;1187;13560;162;366;1356;13134
170;1187;13560;162;366;1356;13134
175;1187;13560;162;366;1356;13134
180;1187;13560;162;366;1356;13134
185;1187;13560;162;366;1356;13134
190;1187;13560;162;366;1356;13134
195;1187;13560;162;366;1356;13134
200;1187;13560;162;366;1356;13134
205;1187;13560;162;366;1356;13134
210;1187;13560;162;366;1356;13134
215;1187;13560;162;366;1356;13134
220;1187;13560;162;366;1356;13134
225;1234;18411;245;368;95;23774
230;1234;18411;245;368;95;23774
235;1234;18411;245;368;95;23774
240;1234;18411;245;368;95;23774
245;1234;18411;245;368;95;23774
250;1234;18411;245;368;95;23774
255;1234;18411;245;368;95;23774
260;1234;18411;245;368;95;23774
265;1234;18411;245;368;95;23774
270;1234;18411;245;368;95;23774
275;1234;18411;245;368;95;23774
280;17359;20827;172;368;19625;30652
285;17359;20827;172;368;19625;30652
290;17359;20827;172;368;19625;30652
295;17359;20827;172;368;19625;30652
300;17359;20827;172;368;19625;30652
305;17359;20827;172;368;19625;30652
310;17359;20827;172;368;19625;30652
315;17359;20827;172;368;19625;30652
320;17359;20827;172;368;19625;30652
325;17359;20827;172;368;19625;30652
330;17359;20827;172;368;19625;30652
335;18649;20844;192;372;22596;30933
340;18649;20844;192;372;22596;30933
345;18649;20844;192;372;22596;30933
350;18649;20844;192;372;22596;30933
355;18649;20844;192;372;22596;30933
360;18649;20844;192;372;22596;30933
365;18649;20844;192;372;22596;30933
370;18649;20844;192;372;22596;30933
375;18649;20844;192;372;22596;30933
380;18649;20844;192;372;22596;30933
385;18649;20844;192;372;22596;30933
390;18649;20844;192;372;22596;30933
395;18519;20813;270;370;22256;30955
400;18519;20813;270;370;22256;30955
405;18519;20813;270;370;22256;30955
410;18519;20813;270;370;22256;30955
415;18519;20813;270;370;22256;30955
420;18519;20813;270;370;22256;30955
425;18519;20813;270;370;22256;30955
430;18519;20813;270;370;22256;30955
435;18519;20813;270;370;22256;30955
440;18519;20813;270;370;22256;30955
445;18519;20813;270;370;22256;30955
450;17871;20804;186;371;21764;30966
455;17871;20804;186;371;21764;30966
460;17871;20804;186;371;21764;30966
465;17871;20804;186;371;21764;30966
470;17871;20804;186;371;21764;30966
475;17871;20804;186;371;21764;30966
480;17871;20804;186;371;21764;30966
485;17871;20804;186;371;21764;30966
490;17871;20804;186;371;21764;30966
495;17871;20804;186;371;21764;30966
500;17871;20804;186;371;21764;30966
505;17931;20868;248;371;21777;31048
510;17931;20868;248;371;21777;31048
515;17931;20868;248;371;21777;31048
520;17931;20868;248;371;21777;31048
525;17931;20868;248;371;21777;31048
530;17931;20868;248;371;21777;31048
535;17931;20868;248;371;21777;31048
540;17931;20868;248;371;21777;31048
545;17931;20868;248;371;21777;31048
550;17931;20868;248;371;21777;31048
555;17931;20868;248;371;21777;31048
560;17931;20868;248;371;21777;31048
565;17880;20867;237;384;21900;31049
570;17880;20867;237;384;21900;31049
575;17880;20867;237;384;21900;31049
580;17880;20867;237;384;21900;31049
585;17880;20867;237;384;21900;31049
590;17880;20867;237;384;21900;31049
595;17880;20867;237;384;21900;31049
600;17880;20867;237;384;21900;31049
