Rótulos de Linha;DRC 5 Média de Latency(ms);DRC 5 DesvPad de Latency(ms);DRC 7 Média de Latency(ms);DRC 8 Média de Latency(ms);DRC 8 DesvPad de Latency(ms);DRC 10 Média de Latency(ms);DRC 10 DesvPad de Latency(ms);Total Média de Latency(ms);Total DesvPad de Latency(ms)
1;37.13333333;12.6080662;152;33.9;18.24335495;77.77777778;93.01172003;74.55238095;87.97456461
2;25.56666667;3.957692931;18.9;16.7;4.101219331;51.51111111;71.52891434;47.22380952;66.96487907
3;21.5;4.158124577;31.5;53.85;39.66869042;32.44444444;34.21652437;32.65952381;32.70706688
4;20.13333333;4.916638418;18.5;23.95;4.596194078;32.33055556;53.10394023;30.73095238;49.24826845
5;14.66666667;2.516611478;80.8;16.45;1.909188309;35.00833333;58.4680395;33.76190476;54.91146289
6;22.63333333;4.909514572;27.7;36.05;11.80868325;43.90833333;54.40462362;41.62857143;50.68041083
7;18.13333333;3.156474827;29.9;18.9;1.697056275;37.27222222;55.4336443;34.8547619;51.59806766
8;33.26666667;27.86419447;31;15.85;2.474873734;42.54444444;69.33808454;40.33571429;64.6647445
9;27.86666667;3.52325607;132;24;1.838477631;33.72222222;50.87737702;35.18095238;49.50659595
10;23.13333333;8.57107539;177;20.75;9.970205615;62.53333333;113.0075522;60.4547619;106.8725026
11;23.33333333;5.507570547;318;23.85;8.414570696;33.45611111;52.4973009;39.05047619;65.65486689
12;27.56666667;0.493288286;231;18.45;2.050609665;22.54722222;8.318086528;27.67380952;33.08681898
13;25.86666667;0.230940108;41.9;109.7;139.0171932;33.59444444;54.98420004;36.86428571;57.70472704
14;24.13333333;1.12398102;15.5;70.4;58.83128419;36.17527778;58.83956883;36.45261905;55.8392492
15;17.6;4.677606225;16.6;16.25;2.050609665;40.65555556;69.11019956;37.27380952;64.41101655
16;20.83333333;10.57087193;16.9;18.8;5.656854249;39.4;73.50212047;36.55714286;68.3239848
17;18.9;4.279018579;21.6;18.05;7.000357134;32.96388889;52.16667328;30.97857143;48.47305279
18;25.2;3.857460304;22.3;17.2;7.071067812;42.81666667;68.74693759;39.85;63.97207184
19;79.6;106.8731959;23.6;24.3;6.363961031;34.86666667;43.64680319;37.29047619;48.30479858
20;17.6;2.62297541;140;24.35;7.566042559;33.66666667;45.5407949;34.60714286;45.49923287
21;15.2;4.070626487;344;20.3;7.778174593;29.85277778;49.06507915;35.83095238;66.69297871
22;24.7;11.19687456;87.2;46.35;28.77924599;29.26111111;36.72699496;31.12857143;35.66320291
23;19.56666667;7.22795499;21.6;23.7;1.13137085;30.79166667;51.13073649;29.43333333;47.39395694
24;20.56666667;1.159022577;17.8;24.6;3.39411255;22.04722222;7.325434599;21.96190476;6.86048965
25;21.23333333;2.223360819;123;12.85;0.070710678;23.50833333;13.69640985;25.20714286;20.11898015
26;20;8.717797887;26.7;25.05;5.303300859;37.54722222;67.15140882;35.44047619;62.30792166
27;22.16666667;7.115007613;37.7;16.15;5.444722215;24.32222222;11.33573644;24.09761905;10.99080521
28;27.9;3.536947837;23.6;23.85;7.14177849;61.33888889;98.80515683;56.26666667;92.1651584
29;20.26666667;7.536798613;42;17.35;1.909188309;38.07222222;63.62289171;35.90714286;59.14456614
30;20.3;4.513313639;23.7;22.85;7.283199846;40.10833333;64.27939628;37.48095238;59.76790981
31;37.33333333;34.38507428;201;15.75;1.060660172;35.89444444;58.40818898;38.96904762;60.37474229
32;20.9;6.519969325;105;167.7;213.970512;20.77833333;9.86861041;29.78857143;48.42207038
33;28.43333333;2.916047553;40.9;15.75;0.636396103;26.91111111;17.6126704;26.82142857;16.62063859
34;26.9;4.616275555;14.9;13.8;1.555634919;26.63333333;40.65552853;25.76190476;37.71877292
35;25.53333333;4.647938611;5.3;17.65;6.858935778;31.62777778;41.81980126;29.9;39.00330192
36;21;1.039230485;27.8;20.95;9.545941546;41.48055556;66.98017967;38.71428571;62.29012987
37;106.5666667;156.2604983;43.1;147.2;182.1507068;31.69722222;39.282526;42.81666667;65.23088419
38;29.1;18.01360597;19.6;16.4;2.545584412;29.19722222;47.47609616;28.35238095;44.15450831
39;16.53333333;5.120872322;78.9;19.65;6.151828996;39.06944444;72.78882496;37.48333333;67.94661074
40;16.9;4.616275555;13.3;23.95;3.889087297;29.96111111;38.61523961;28.3452381;35.9537318
41;16.56666667;2.888482877;295;19.5;3.959797975;30.14416667;36.5951175;34.97357143;53.38610872
42;24.9;7.549834435;25.7;15.25;0.777817459;33.975;52.34685623;32.23809524;48.6178375
43;24.2;6.089334939;20.9;144.95;185.3326873;30.29166667;48.97657385;35.09285714;59.24349668
44;20.03333333;8.130395644;16.4;21.05;8.414570696;56.21666667;93.10099432;51.00952381;87.01324488
45;18.1;8.343260753;23.8;16.75;1.343502884;39.91111111;64.88957115;36.86666667;60.46251274
46;25.86666667;4.0525712;43.1;13.9;1.13137085;64.91777778;107.4247769;59.17952381;100.3421797
47;19.53333333;3.257811126;25.7;25.15;2.899137803;38.95833333;60.21162856;36.59761905;55.95623067
48;19.16666667;3.808324216;20.6;14.45;2.474873734;41.08055556;69.01963621;37.75952381;64.31254499
49;18.9;1.053565375;28.6;170.5;211.4249276;21.72777778;8.016219669;28.77380952;46.64453571
50;23.56666667;5.774368652;71.8;26.65;3.181980515;32.47222222;51.01595611;32.4952381;47.632014
51;19.56666667;4.80034721;24.1;171.35;210.222846;36.3;67.75093041;41.2452381;76.72171188
52;17.8;7.918964579;20.8;23.4;3.818376618;39.17777778;58.76555897;36.46190476;54.75121984
53;20.16666667;4.838732616;15.8;30.75;2.899137803;47.9;80.40937756;44.33809524;74.85707016
54;21.86666667;2.050203242;75.3;67.9;77.92316729;39.81388889;63.31630416;40.71428571;60.51869524
55;84.53333333;104.3858867;30.2;25.25;2.192031022;27.79166667;29.39440544;31.78095238;38.5872103
56;121.3;172.124577;38.8;20.2;2.687005769;39.96388889;62.81138729;44.8047619;72.74922832
57;17.6;1.216552506;329;18.25;2.333452378;42.34444444;74.94836487;46.2547619;82.80738215
58;22.8;5.023942675;24.5;18.5;3.959797975;40.00833333;61.71763987;37.38571429;57.41350471
59;20.13333333;6.274817394;35.6;17.1;5.091168825;49.39722222;70.77033473;45.44047619;66.183087
60;18.7;5.121523211;23.7;26.05;8.980256121;32.55833333;50.25117696;31.04761905;46.63243003
