Time(s);cu CPU(m);du CPU(m);ru CPU(m);cu Memory(Mi);du Memory(Mi);ru Memory(Mi)
15;0;0;0;4;4;2
20;0;0;0;4;4;2
25;0;0;0;4;4;2
30;0;0;0;4;4;2
35;0;0;0;4;4;2
40;0;0;0;4;4;2
45;0;0;0;4;4;2
50;0;0;0;4;4;2
55;0;0;0;4;4;2
60;0;0;0;4;4;2
65;0;0;0;4;4;2
70;451;499;501;121;11;9
75;451;499;501;121;11;9
80;451;499;501;121;11;9
85;451;499;501;121;11;9
90;451;499;501;121;11;9
95;451;499;501;121;11;9
100;451;499;501;121;11;9
105;451;499;501;121;11;9
110;451;499;501;121;11;9
115;451;499;501;121;11;9
120;451;499;501;121;11;9
125;451;499;501;121;11;9
130;1;10;0;121;350;3
135;1;10;0;121;350;3
140;1;10;0;121;350;3
145;1;10;0;121;350;3
150;1;10;0;121;350;3
155;1;10;0;121;350;3
160;1;10;0;121;350;3
165;1;10;0;121;350;3
170;1;10;0;121;350;3
175;1;10;0;121;350;3
180;1;10;0;121;350;3
185;0;1;0;121;350;3
190;0;1;0;121;350;3
195;0;1;0;121;350;3
200;0;1;0;121;350;3
205;0;1;0;121;350;3
210;0;1;0;121;350;3
215;0;1;0;121;350;3
220;0;1;0;121;350;3
225;0;1;0;121;350;3
230;0;1;0;121;350;3
235;0;1;0;121;350;3
240;0;1;0;121;350;3
245;0;279;64;121;422;86
250;0;279;64;121;422;86
255;0;279;64;121;422;86
260;0;279;64;121;422;86
265;0;279;64;121;422;86
270;0;279;64;121;422;86
275;0;279;64;121;422;86
280;0;279;64;121;422;86
285;0;279;64;121;422;86
290;0;279;64;121;422;86
295;0;279;64;121;422;86
300;0;292;64;121;422;86
305;0;292;64;121;422;86
310;0;292;64;121;422;86
315;0;292;64;121;422;86
320;0;292;64;121;422;86
325;0;292;64;121;422;86
330;0;292;64;121;422;86
335;0;292;64;121;422;86
340;0;292;64;121;422;86
345;0;292;64;121;422;86
350;0;292;64;121;422;86
355;0;292;64;121;422;86
360;1;288;65;121;423;86
365;1;288;65;121;423;86
370;1;288;65;121;423;86
375;1;288;65;121;423;86
380;1;288;65;121;423;86
385;1;288;65;121;423;86
390;1;288;65;121;423;86
395;1;288;65;121;423;86
400;1;288;65;121;423;86
405;1;288;65;121;423;86
410;1;288;65;121;423;86
415;1;289;64;121;423;86
420;1;289;64;121;423;86
425;1;289;64;121;423;86
430;1;289;64;121;423;86
435;1;289;64;121;423;86
440;1;289;64;121;423;86
445;1;289;64;121;423;86
450;1;289;64;121;423;86
455;1;289;64;121;423;86
460;1;289;64;121;423;86
465;1;289;64;121;423;86
470;1;289;64;121;423;86
475;1;291;64;121;423;86
480;1;291;64;121;423;86
485;1;291;64;121;423;86
490;1;291;64;121;423;86
495;1;291;64;121;423;86
500;1;291;64;121;423;86
505;1;291;64;121;423;86
510;1;291;64;121;423;86
515;1;291;64;121;423;86
520;1;291;64;121;423;86
525;1;291;64;121;423;86
530;1;293;64;121;423;86
535;1;293;64;121;423;86
540;1;293;64;121;423;86
545;1;293;64;121;423;86
550;1;293;64;121;423;86
555;1;293;64;121;423;86
560;1;293;64;121;423;86
565;1;293;64;121;423;86
570;1;293;64;121;423;86
575;1;293;64;121;423;86
580;1;293;64;121;423;86
585;1;291;63;121;423;86
590;1;291;63;121;423;86
595;1;291;63;121;423;86
600;1;291;63;121;423;86
605;1;291;63;121;423;86
610;1;291;63;121;423;86
615;1;291;63;121;423;86
620;1;291;63;121;423;86
625;1;291;63;121;423;86
630;1;291;63;121;423;86
635;1;291;63;121;423;86
640;1;291;63;121;423;86
645;1;293;64;121;423;86
650;1;293;64;121;423;86
655;1;293;64;121;423;86
660;1;293;64;121;423;86
665;1;293;64;121;423;86
670;1;293;64;121;423;86
675;1;293;64;121;423;86
680;1;293;64;121;423;86
685;1;293;64;121;423;86
690;1;293;64;121;423;86
695;1;293;64;121;423;86
700;1;288;63;121;423;86
705;1;288;63;121;423;86
710;1;288;63;121;423;86
715;1;288;63;121;423;86
720;1;288;63;121;423;86
725;1;288;63;121;423;86
730;1;288;63;121;423;86
735;1;288;63;121;423;86
740;1;288;63;121;423;86
745;1;288;63;121;423;86
750;1;288;63;121;423;86
755;1;288;63;121;423;86
760;1;285;62;121;423;86
765;1;285;62;121;423;86
770;1;285;62;121;423;86
775;1;285;62;121;423;86
780;1;285;62;121;423;86
785;1;285;62;121;423;86
790;1;285;62;121;423;86
795;1;285;62;121;423;86
800;1;285;62;121;423;86
805;1;285;62;121;423;86
810;1;285;62;121;423;86
815;1;278;63;121;423;86
820;1;278;63;121;423;86
825;1;278;63;121;423;86
830;1;278;63;121;423;86
835;1;278;63;121;423;86
840;1;278;63;121;423;86
845;1;278;63;121;423;86
850;1;278;63;121;423;86
855;1;278;63;121;423;86
860;1;278;63;121;423;86
865;1;278;63;121;423;86
870;1;278;63;121;423;86
875;1;276;64;121;423;86
880;1;276;64;121;423;86
885;1;276;64;121;423;86
890;1;276;64;121;423;86
895;1;276;64;121;423;86
900;1;276;64;121;423;86
Total Geral;31.07865169;247.4213483;80.97191011;113.7696629;359.7696629;64.89325843
