TIME (s);K8S CPU (Millicores);K8S MEMORY (MiBytes);OAI CPU (Millicores);OAI MEMORY (MiBytes)
0;442;2362;635;157
5;442;2362;635;157
10;442;2362;635;157
15;501;2353;603;157
20;501;2353;603;157
25;501;2353;603;157
30;501;2353;603;157
35;501;2353;603;157
40;501;2353;603;157
45;501;2353;603;157
50;501;2353;603;157
55;501;2353;603;157
60;501;2353;603;157
65;501;2353;603;157
70;436;2372;6643;277
75;436;2372;6643;277
80;436;2372;6643;277
85;436;2372;6643;277
90;436;2372;6643;277
95;436;2372;6643;277
100;436;2372;6643;277
105;436;2372;6643;277
110;436;2372;6643;277
115;436;2372;6643;277
120;436;2372;6643;277
125;436;2372;6643;277
130;441;2353;3218;339
135;441;2353;3218;339
140;441;2353;3218;339
145;441;2353;3218;339
150;441;2353;3218;339
155;441;2353;3218;339
160;441;2353;3218;339
165;441;2353;3218;339
170;441;2353;3218;339
175;441;2353;3218;339
180;441;2353;3218;339
185;449;2352;658;2052
190;449;2352;658;2052
195;449;2352;658;2052
200;449;2352;658;2052
205;449;2352;658;2052
210;449;2352;658;2052
215;449;2352;658;2052
220;449;2352;658;2052
225;449;2352;658;2052
230;449;2352;658;2052
235;449;2352;658;2052
240;449;2352;658;2052
245;433;2349;1058;2485
250;433;2349;1058;2485
255;433;2349;1058;2485
260;433;2349;1058;2485
265;433;2349;1058;2485
270;433;2349;1058;2485
275;433;2349;1058;2485
280;433;2349;1058;2485
285;433;2349;1058;2485
290;433;2349;1058;2485
295;433;2349;1058;2485
300;430;2351;1898;2674
305;430;2351;1898;2674
310;430;2351;1898;2674
315;430;2351;1898;2674
320;430;2351;1898;2674
325;430;2351;1898;2674
330;430;2351;1898;2674
335;430;2351;1898;2674
340;430;2351;1898;2674
345;430;2351;1898;2674
350;430;2351;1898;2674
355;430;2351;1898;2674
360;457;2352;1986;2678
365;457;2352;1986;2678
370;457;2352;1986;2678
375;457;2352;1986;2678
380;457;2352;1986;2678
385;457;2352;1986;2678
390;457;2352;1986;2678
395;457;2352;1986;2678
400;457;2352;1986;2678
405;457;2352;1986;2678
410;457;2352;1986;2678
415;439;2358;1972;2678
420;439;2358;1972;2678
425;439;2358;1972;2678
430;439;2358;1972;2678
435;439;2358;1972;2678
440;439;2358;1972;2678
445;439;2358;1972;2678
450;439;2358;1972;2678
