Nodes;0;30;60;90;120;180;210;240;270;300;360;420;480;540;600;Total_Geral;Media;Pico;Desvio_Padrao;Estabilizacao
node1;9 ;9 ;9 ;9 ;9 ;11 ;12 ;16 ;17 ;18 ;19 ;19 ;20 ;20 ;20.00 ;14 ;14 ;20.00 ;5 ;20.00 
node2;11 ;11 ;11 ;11 ;11 ;12 ;12 ;14 ;15 ;16 ;17 ;17 ;18 ;18 ;18.00 ;14 ;14 ;18.00 ;3 ;18.00 
node3;13 ;13 ;13 ;13 ;13 ;16 ;17 ;32 ;36 ;41 ;48 ;48 ;52 ;52 ;52.00 ;31 ;31 ;52.00 ;18 ;52.00 
node4;9 ;9 ;9 ;9 ;9 ;10 ;10 ;18 ;19 ;23 ;27 ;27 ;29 ;29 ;29.00 ;18 ;18 ;29.00 ;9 ;29.00 
node5;10 ;10 ;10 ;10 ;10 ;12 ;14 ;27 ;31 ;36 ;41 ;41 ;44 ;44 ;44.30 ;26 ;26 ;44.30 ;16 ;44.30 
node6;11 ;11 ;11 ;10 ;10 ;11 ;11 ;18 ;21 ;25 ;28 ;28 ;30 ;30 ;30.10 ;19 ;19 ;30.10 ;9 ;30.10 
node7;42 ;42 ;42 ;42 ;42 ;42 ;42 ;42 ;42 ;43 ;43 ;43 ;43 ;43 ;43.30 ;42 ;42 ;43.30 ;1 ;43.30 
node8;39 ;39 ;39 ;39 ;39 ;40 ;40 ;40 ;40 ;40 ;41 ;41 ;41 ;41 ;41.00 ;40 ;40 ;41.00 ;1 ;41.00 
node9;43 ;43 ;43 ;43 ;43 ;43 ;43 ;44 ;44 ;44 ;44 ;45 ;45 ;45 ;44.70 ;44 ;44 ;44.70 ;1 ;44.70 
node10;33 ;33 ;33 ;33 ;33 ;34 ;34 ;34 ;34 ;34 ;35 ;35 ;35 ;35 ;35.00 ;34 ;34 ;35.00 ;1 ;35.00 
node11;35 ;35 ;35 ;35 ;35 ;35 ;35 ;36 ;36 ;36 ;37 ;37 ;37 ;37 ;37.00 ;36 ;36 ;37.00 ;1 ;37.00 
node12;44 ;44 ;44 ;44 ;44 ;45 ;45 ;45 ;45 ;46 ;46 ;46 ;46 ;46 ;46.40 ;45 ;45 ;46.40 ;1 ;46.40 
node13;43 ;43 ;43 ;43 ;43 ;43 ;43 ;43 ;44 ;45 ;45 ;45 ;45 ;45 ;45.00 ;44 ;44 ;45.00 ;1 ;45.00 
node14;25 ;25 ;25 ;25 ;25 ;25 ;25 ;25 ;25 ;26 ;26 ;26 ;26 ;26 ;26.40 ;26 ;26 ;26.40 ;1 ;26.40 
node15;24 ;24 ;24 ;24 ;24 ;24 ;24 ;25 ;25 ;25 ;26 ;26 ;26 ;26 ;25.50 ;24 ;24 ;;1 ;25.50 
node16;30 ;30 ;30 ;30 ;30 ;30 ;30 ;30 ;30 ;31 ;31 ;31 ;31 ;31 ;31.60 ;31 ;31 ;31.60 ;1 ;31.60 
node17;21 ;21 ;21 ;21 ;21 ;21 ;21 ;21 ;21 ;22 ;23 ;23 ;23 ;23 ;23.20 ;22 ;22 ;23.20 ;1 ;23.20 
node18;26 ;26 ;26 ;26 ;26 ;26 ;26 ;26 ;27 ;27 ;27 ;27 ;27 ;27 ;27.50 ;27 ;27 ;27.50 ;1 ;27.50 
node19;26 ;26 ;26 ;26 ;26 ;26 ;26 ;26 ;26 ;27 ;27 ;27 ;27 ;27 ;27.10 ;26 ;26 ;27.10 ;1 ;27.10 
node20;26 ;26 ;26 ;26 ;26 ;27 ;27 ;27 ;27 ;28 ;28 ;28 ;28 ;28 ;28.40 ;27 ;27 ;28.40 ;1 ;28.40 
node21;27 ;27 ;27 ;27 ;27 ;28 ;28 ;28 ;28 ;29 ;29 ;29 ;29 ;29 ;29.40 ;28 ;28 ;29.40 ;1 ;29.40 
node22;27 ;27 ;27 ;27 ;27 ;27 ;27 ;27 ;27 ;28 ;29 ;29 ;29 ;29 ;28.80 ;28 ;28 ;28.80 ;1 ;28.80 
node23;28 ;28 ;28 ;28 ;28 ;28 ;28 ;28 ;28 ;29 ;30 ;30 ;30 ;30 ;30.00 ;29 ;29 ;30.00 ;1 ;30.00 
node24;25 ;25 ;25 ;25 ;25 ;25 ;25 ;26 ;26 ;26 ;27 ;27 ;27 ;27 ;27.00 ;26 ;26 ;27.00 ;1 ;27.00 
node25;29 ;29 ;29 ;29 ;29 ;29 ;29 ;29 ;29 ;30 ;30 ;30 ;30 ;30 ;30.40 ;29 ;29 ;30.40 ;1 ;30.40 
